"stm32f412zgtx","stm32f412zg"
"stm32f413cgux","stm32f413cg"
"stm32f413chux","stm32f413ch"
"stm32f413mgyx","stm32f413mg"
"stm32f413mhyx","stm32f413mh"
"stm32f413rgtx","stm32f413rg"
"stm32f413rhtx","stm32f413rh"
"stm32f413vghx","stm32f413vg"
"stm32f413vgtx","stm32f413vg"
"stm32f413vhhx","stm32f413vh"
"stm32f413vhtx","stm32f413vh"
"stm32f413zgjx","stm32f413zg"
"stm32f413zgtx","stm32f413zg"
"stm32f413zhjx","stm32f413zh"
"stm32f413zhtx","stm32f413zh"
"stm32f415ogyx","stm32f415og"
"stm32f415rgtx","stm32f415rg"
"stm32f415vgtx","stm32f415vg"
"stm32f415zgtx","stm32f415zg"
"stm32f417iehx","stm32f417ie"
"stm32f417ietx","stm32f417ie"
"stm32f417ighx","stm32f417ig"
"stm32f417igtx","stm32f417ig"
"stm32f417vetx","stm32f417ve"
"stm32f417vgtx","stm32f417vg"
"stm32f417zetx","stm32f417ze"
"stm32f417zgtx","stm32f417zg"
"stm32f423chux","stm32f423ch"
"stm32f423mhyx","stm32f423mh"
"stm32f423rhtx","stm32f423rh"
"stm32f423vhhx","stm32f423vh"
"stm32f423vhtx","stm32f423vh"
"stm32f423zhjx","stm32f423zh"
"stm32f423zhtx","stm32f423zh"
"stm32f427aghx","stm32f427ag"
"stm32f427aihx","stm32f427ai"
"stm32f427ighx","stm32f427ig"
"stm32f427igtx","stm32f427ig"
"stm32f427iihx","stm32f427ii"
"stm32f427iitx","stm32f427ii"
"stm32f427vgtx","stm32f427vg"
"stm32f427vitx","stm32f427vi"
"stm32f427zgtx","stm32f427zg"
"stm32f427zitx","stm32f427zi"
"stm32f429aghx","stm32f429ag"
"stm32f429aihx","stm32f429ai"
"stm32f429betx","stm32f429be"
"stm32f429bgtx","stm32f429bg"
"stm32f429bitx","stm32f429bi"
"stm32f429ietx","stm32f429ie"
"stm32f429iehx","stm32f429ie"
"stm32f429igtx","stm32f429ig"
"stm32f429ighx","stm32f429ig"
"stm32f429iihx","stm32f429ii"
"stm32f429iitx","stm32f429ii"
"stm32f429nehx","stm32f429ne"
"stm32f429nghx","stm32f429ng"
"stm32f429nihx","stm32f429ni"
"stm32f429vetx","stm32f429ve"
"stm32f429vgtx","stm32f429vg"
"stm32f429vitx","stm32f429vi"
"stm32f429zetx","stm32f429ze"
"stm32f429zgtx","stm32f429zg"
"stm32f429zgyx","stm32f429zg"
"stm32f429zitx","stm32f429zi"
"stm32f429ziyx","stm32f429zi"
"stm32f437aihx","stm32f437ai"
"stm32f437ighx","stm32f437ig"
"stm32f437igtx","stm32f437ig"
"stm32f437iihx","stm32f437ii"
"stm32f437iitx","stm32f437ii"
"stm32f437vgtx","stm32f437vg"
